V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,default,implementation,commitment,loss_aversion,social_norms,counter1,counter2,default_trial,implementation_trial,commitment_trial,loss_aversion_trial,social_norms_trial,Q3,Q56,Q11,Q12,Q13,Q14,Q15,Q17,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,Q206,Q207,Q208,Q209,Q210,Q211,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_time_1,p2_time_2,p2_time_3,p2_time_4,Q227,Q228,Q229,Q230,Q231,Q232,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_time_1,p3_time_2,p3_time_3,p3_time_4,Q213,Q214,Q215,Q216,Q217,Q218,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_time_1,p4_time_2,p4_time_3,p4_time_4,Q220,Q221,Q222,Q223,Q224,Q225,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_time_1,p5_time_2,p5_time_3,p5_time_4,Q70,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,attitude3,attitude4,libert_1,libert_2,libert_3,libert_4,libert_5,libert_6,gender,age_1,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
R_9yKuQJySaNfelNz,Default Response Set,Anonymous,,,68.101.192.87,0,2014-05-17 11:43:54,2014-05-17 11:51:43,1,safe sex,food stamps,control,tax breaks,intelligent design,6,6,1,3,2,4,5,1,1,1,,,,1,,4,3,4,4,3,4,53.472,77.81599999999999,78.433,8,1,,1,,,,3,4,4,2,3,2,3.881,21.57,23.402,6,1,1,,,,,4,3,3,2,4,3,31.69,49.96900000000001,53.9,7,1,,,1,,,5,4,3,4,2,4,10.066,58.497,60.018,13,1,,,,,1,4,5,3,4,3,4,16.044,56.253,58.175,17,1,3,4,,,4,,,5,1,5,4,7,7,1,7,1,1,1,25,Thank you for letting me participate in this study. ,32.670700073242,-117.09460449219,-1,
R_cIT6ANfxe25Ndad,Default Response Set,Anonymous,,,174.23.151.155,0,2014-05-17 11:46:23,2014-05-17 11:52:25,1,tax breaks,control,food stamps,intelligent design,safe sex,6,6,4,3,1,5,2,1,1,1,,,1,,,1,5,1,5,5,5,34.112,42.827999999999996,45.11,6,1,1,,,,,3,3,4,3,3,4,16.333,26.247999999999998,27.476,6,1,,1,,,,1,5,1,5,5,5,47.231,60.867999999999995,61.977,6,1,,,,,1,2,5,2,5,5,5,24.827,47.993,50.461,7,1,,,,1,,4,1,3,3,3,4,30.183,41.187999999999995,42.153,6,1,2,3,,,3,,,5,3,7,6,5,5,3,3,1,3,2,26,,40.60969543457,-111.93910217285,-1,
R_bCsIYbfigZcttPL,Default Response Set,Anonymous,,,72.130.186.42,0,2014-05-17 11:47:19,2014-05-17 11:52:40,1,food stamps,control,tax breaks,intelligent design,safe sex,6,6,3,1,5,4,2,1,1,1,,1,,,,3,2,4,4,2,5,27.942,37.446,39.241,7,1,1,,,,,4,1,5,3,1,4,23.983,34.631,35.868,7,1,,,1,,,5,1,3,5,2,5,15.417,23.47,24.592,7,1,,,,,1,3,2,4,4,2,4,90.02,101.999,102.974,7,1,,,,1,,4,1,5,4,1,4,25.51,34.674,35.745,6,1,2,2,,,3,,,5,1,7,7,3,5,4,5,4,2,2,23,,21.967300415039,-159.52279663086,-1,
R_cNlp2dngRKfs4HH,Default Response Set,Anonymous,,,70.192.204.186,0,2014-05-17 11:44:54,2014-05-17 11:54:46,1,control,tax breaks,food stamps,intelligent design,safe sex,6,6,1,3,5,2,4,1,1,1,1,,,,,1,5,1,5,5,4,47.321,59.876999999999995,62.502,8,1,,,1,,,4,1,4,2,2,2,33.857,44.330999999999996,44.762,7,1,,1,,,,4,2,4,2,2,4,20.33,32.684999999999995,33.414,7,1,,,,,1,2,4,2,5,3,3,45.469,55.117999999999995,56.123,6,1,,,,1,,3,3,3,4,3,4,106.42,115.16600000000001,115.934,7,1,2,3,,,2,,,5,2,7,3,2,5,3,3,3,3,1,20,,38.895095825195,-77.036399841309,-1,
R_0AnULiNFEFrCHDT,Default Response Set,Anonymous,,,99.195.127.99,0,2014-05-17 11:53:48,2014-05-17 11:59:12,1,safe sex,tax breaks,intelligent design,control,food stamps,6,6,2,3,5,1,4,1,1,1,,,,1,,5,1,4,1,1,3,26.4,36.93599999999999,38.778,6,1,,,1,,,4,2,2,3,1,4,30.699,40.62,41.151,6,1,,,,,1,3,3,4,2,2,3,17.472,32.32900000000001,33.763,6,1,1,,,,,3,3,4,3,1,3,59.576,71.584,72.027,8,1,,1,,,,2,4,3,4,4,5,28.342,37.197,38.065,6,1,3,4,,,5,,,3,1,7,7,4,5,3,6,1,2,1,37,,34.918395996094,-92.136199951172,-1,
R_cGc55fsVON6nHkF,Default Response Set,Anonymous,,,174.109.48.130,0,2014-05-17 11:54:36,2014-05-17 12:00:11,1,tax breaks,control,food stamps,intelligent design,safe sex,6,6,3,2,5,1,4,1,1,1,,,1,,,2,4,1,5,4,3,21.817,35.091,37.358,8,1,1,,,,,4,2,5,5,2,3,31.417,44.164,45.834,9,1,,1,,,,4,2,4,3,3,4,38.937,44.49199999999999,47.853,7,1,,,,,1,2,4,2,3,3,3,63.652,82.14399999999999,84.735,6,1,,,,1,,4,2,5,3,1,3,12.864,25.293,26.937,7,1,3,2,1,,2,,1,6,2,7,2,2,6,2,3,6,5,1,20,,35.889602661133,-78.92440032959,-1,
R_5BANRXXhu5FhH4F,Default Response Set,Anonymous,,,108.16.225.221,0,2014-05-17 11:56:57,2014-05-17 12:00:46,1,food stamps,control,safe sex,tax breaks,intelligent design,6,6,4,3,5,1,2,1,1,1,,1,,,,2,4,3,4,4,4,14.917,21.018000000000004,21.462,7,1,1,,,,,4,2,4,2,2,2,12.658,21.867,22.518,12,1,,,,1,,4,2,4,3,3,3,12.56,20.874000000000002,21.757,11,1,,,1,,,3,3,2,4,4,4,5.039,48.516000000000005,49.135,12,1,,,,,1,3,3,2,3,3,3,3.237,18.339,19.158,8,1,3,2,,,4,,,7,3,7,4,6,5,4,6,1,4,2,26,,39.949401855469,-75.145698547363,-1,
R_8vV686DGBFJPizr,Default Response Set,Anonymous,,,24.75.117.189,0,2014-05-17 11:56:35,2014-05-17 12:01:04,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,3,5,1,2,4,1,1,1,,1,,,,4,2,4,2,2,2,24.524,31.154,32.416,6,1,1,,,,,5,1,5,1,1,1,12.962,19.968,22.623,6,1,,,1,,,5,1,5,2,1,3,26.835,41.90100000000001,42.629,9,1,,,,1,,2,4,2,5,4,4,35.09,44.958000000000006,45.913,6,1,,,,,1,5,1,5,2,1,2,32.867,40.42099999999999,41.296,7,1,3,5,,,6,,,6,2,5,6,7,1,7,7,1,1,2,26,,32.256805419922,-96.08219909668,-1,
R_9nQmvhMmE8rdz5H,Default Response Set,Anonymous,,,216.161.92.161,0,2014-05-17 11:56:29,2014-05-17 12:01:37,1,food stamps,tax breaks,control,safe sex,intelligent design,6,6,1,2,5,3,4,1,1,1,,1,,,,5,1,4,3,1,4,39.004,53.26499999999999,53.791,11,1,,,1,,,4,1,5,3,1,4,31.21,41.408,41.984,10,1,1,,,,,3,1,1,5,2,4,23.31,33.621,33.897,9,1,,,,1,,5,1,3,5,2,5,38.312,50.173,50.749,7,1,,,,,1,2,4,1,,5,4,37.224,48.12,48.785,9,1,2,3,,,,1,,7,1,7,1,4,5,3,5,1,1,1,30,,45.638702392578,-122.66149902344,-1,
R_cYDfZ5oHMHMcXeB,Default Response Set,Anonymous,,,107.5.60.30,0,2014-05-17 11:55:18,2014-05-17 12:01:46,1,intelligent design,food stamps,control,tax breaks,safe sex,6,6,1,5,2,3,4,1,1,1,,,,,1,2,4,2,5,4,2,0,0,64.391,0,1,,1,,,,4,2,4,2,2,2,0,0,30.47,0,1,1,,,,,4,2,4,2,2,4,0,0,36.246,0,1,,,1,,,4,2,4,2,2,2,0,0,33.071,0,1,,,,1,,4,2,4,2,2,2,0,0,32.185,0,1,3,5,,,3,,,6,2,5,4,5,5,4,3,4,3,2,26,,41.893402099609,-84.065902709961,-1,
R_aeHlZfNaCqnGQND,Default Response Set,Anonymous,,,71.88.177.5,0,2014-05-17 11:53:09,2014-05-17 12:02:44,1,control,tax breaks,safe sex,intelligent design,food stamps,6,6,3,4,5,2,1,1,1,1,1,,,,,3,3,3,4,4,4,41.329,51.260999999999996,52.369,6,1,,,1,,,5,1,5,1,1,3,48.661,59.414,60.439,6,1,,,,1,,1,3,3,3,1,3,82.242,98.821,100.476,7,1,,,,,1,5,1,5,3,1,1,81.83,95.70400000000001,96.912,7,1,,1,,,,5,1,5,3,1,1,54.73,66.371,67.833,6,1,3,4,,1,4,,1,4,4,7,4,4,1,7,7,1,1,2,26,,35.648895263672,-86.995796203613,-1,
R_73NmFCr3KpjSuTb,Default Response Set,Anonymous,,,139.55.27.139,0,2014-05-17 11:53:35,2014-05-17 12:02:45,1,food stamps,control,intelligent design,tax breaks,safe sex,6,6,3,4,5,1,2,1,1,1,,1,,,,1,5,5,5,1,5,81.431,92.13699999999999,93.419,6,1,1,,,,,5,1,1,1,1,1,47.322,57.839,59.304,6,1,,,,,1,5,1,1,1,1,1,90.261,97.222,98.529,6,1,,,1,,,1,5,1,5,5,5,86.538,106.544,107.794,7,1,,,,1,,5,1,5,1,1,1,44.368,61.665000000000006,68.143,7,1,2,4,,,4,,,7,4,7,7,4,5,4,4,4,4,1,47,,37.988693237305,-84.477699279785,-1,
R_03ttEcinVERtY4B,Default Response Set,Anonymous,,,97.89.111.70,0,2014-05-17 11:56:12,2014-05-17 12:03:14,1,intelligent design,food stamps,safe sex,control,tax breaks,6,6,2,4,3,5,1,1,1,1,,,,,1,3,2,4,4,2,4,48.403,64.421,66.02,6,1,,1,,,,4,3,4,4,2,4,31.001,43.869,45.25,6,1,,,,1,,2,3,3,4,3,4,37.347,51.330999999999996,52.993,6,1,1,,,,,4,2,4,4,2,4,23.637,37.19,38.81,6,1,,,1,,,4,2,5,2,2,3,66.289,90.56100000000002,92.296,7,1,1,6,,,6,,,7,7,7,7,6,3,5,5,2,2,1,50,,35.476104736328,-81.253997802734,-1,
R_eF1RefpK0vWEIND,Default Response Set,Anonymous,,,172.56.37.174,0,2014-05-17 12:02:24,2014-05-17 12:05:50,1,tax breaks,intelligent design,control,food stamps,safe sex,6,6,1,3,5,2,4,1,1,1,,,1,,,3,4,3,4,4,4,4.485,26.008999999999997,27.446,10,1,,,,,1,4,2,4,3,2,4,10.901,17.183,18.973,6,1,1,,,,,4,2,4,4,2,4,8.689,15.137999999999998,16.437,7,1,,1,,,,3,4,3,4,4,3,13.823,20.656,22.143,8,1,,,,1,,4,3,3,4,3,4,8.87,19.583,20.555,8,1,1,6,,,6,,,5,2,5,5,5,5,4,4,3,3,1,47,,40.735702514648,-74.172401428223,-1,
R_244UFxL39laO6kl,Default Response Set,Anonymous,,,184.3.113.128,0,2014-05-17 11:55:47,2014-05-17 12:07:47,1,safe sex,intelligent design,tax breaks,control,food stamps,6,6,3,2,5,4,1,1,1,1,,,,1,,5,1,5,1,1,1,27.362,34.14,35.449,6,1,,,,,1,1,5,2,5,4,4,78.532,89.32799999999999,90.275,7,1,,,1,,,1,5,2,4,5,3,111.452,120.866,121.741,7,1,1,,,,,3,3,2,5,3,4,31.703,52.932,53.774,6,1,,1,,,,5,1,4,2,1,1,146.229,155.70000000000002,159.544,6,1,2,1,,,1,,,7,1,7,1,6,6,3,5,4,4,1,23,The last set of questions were very broad and needed more context.,35.609893798828,-78.150596618652,-1,
R_2rjiW61IjmWgaRn,Default Response Set,Anonymous,,,66.192.59.11,0,2014-05-17 12:04:36,2014-05-17 12:10:13,1,safe sex,intelligent design,food stamps,tax breaks,control,6,6,3,5,4,2,1,1,1,1,,,,1,,4,3,2,3,5,3,0.824,3.496,5.051,16,1,,,,,1,3,3,2,2,2,2,0.733,3.54,4.111,14,1,,1,,,,3,2,4,4,2,3,0.793,2.6799999999999997,3.211,11,1,,,1,,,3,2,5,4,3,3,4.329,6.121,6.636,8,1,1,,,,,4,3,3,4,4,3,2.388,4.852,5.279,10,1,1,4,,,3,,,5,3,5,6,5,5,7,3,3,6,1,22,none,34.693099975586,-81.258201599121,-1,
R_4URtjUSkUTK7ogJ,Default Response Set,Anonymous,,,98.180.30.118,0,2014-05-17 11:47:51,2014-05-17 12:10:51,1,tax breaks,safe sex,food stamps,control,intelligent design,6,6,3,4,1,5,2,1,1,1,,,1,,,5,1,4,1,1,1,1.803,6.7219999999999995,7.63,6,1,,,,1,,5,5,2,1,1,1,1.758,6.030000000000001,6.907,6,1,,1,,,,5,5,5,5,5,5,2.859,1106.618,1107.72,9,1,1,,,,,5,1,2,2,1,1,14.249,21.088,21.755,7,1,,,,,1,4,5,4,1,1,1,6.006,10.700000000000003,11.49,8,1,2,2,,,2,,,4,4,2,4,5,5,2,2,6,2,1,30,,29.676605224609,-82.385498046875,-1,
R_afR5ClXGbmLpeMR,Default Response Set,Anonymous,,,108.91.55.6,0,2014-05-17 12:06:46,2014-05-17 12:12:14,1,food stamps,tax breaks,safe sex,intelligent design,control,6,6,3,5,1,4,2,1,1,1,,1,,,,4,2,3,4,3,4,22.798,31.733,33.59,6,1,,,1,,,3,3,3,4,3,4,31.007,38.46199999999999,39.232,8,1,,,,1,,3,3,3,4,3,4,26.919,49.631,50.249,8,1,,,,,1,3,2,3,4,3,4,33.72,47.112,48.187,6,1,1,,,,,2,4,2,4,4,4,44.324,53.32300000000001,53.879,6,1,2,1,,,2,,,7,1,7,1,5,4,5,4,2,1,2,24,,33.152404785156,-87.613296508789,-1,
R_0wSaz1FyqdSODJ3,Default Response Set,Anonymous,,,69.244.112.88,0,2014-05-17 12:04:48,2014-05-17 12:12:27,1,control,tax breaks,safe sex,food stamps,intelligent design,6,6,5,3,1,4,2,1,1,1,1,,,,,1,5,1,5,4,5,25.902,33.277,34.055,6,1,,,1,,,5,1,5,1,1,1,19.24,27.539,28.725,6,1,,,,1,,4,1,5,4,1,3,28.979,58.985,60.169,10,1,,1,,,,2,3,2,4,4,4,164.366,178.292,179.172,7,1,,,,,1,2,4,3,5,2,5,16.259,25.707,26.848,7,1,1,6,,,6,,,1,7,3,7,7,1,7,7,1,1,1,27,Good luck with your Research and thank you for allowing me to participate. I thought it was interesting and thought provoking. ,40.624694824219,-74.249397277832,-1,
R_3DHvdEKDWfblg3j,Default Response Set,Anonymous,,,65.190.183.199,0,2014-05-17 12:06:06,2014-05-17 12:12:34,1,food stamps,control,safe sex,tax breaks,intelligent design,6,6,2,3,5,4,1,1,1,1,,1,,,,3,3,3,4,3,4,32.132,44.155,46.406,6,1,1,,,,,5,1,5,1,1,1,24.213,38.18,40.391,8,1,,,,1,,3,3,3,4,3,4,30.267,48.642999999999994,50.604,6,1,,,1,,,4,2,4,4,2,4,36.219,53.746,56.285,6,1,,,,,1,2,4,2,5,2,5,48.074,62.71399999999999,63.507,7,1,2,1,,,3,,,4,1,7,1,2,5,5,5,5,2,2,51,Nothing comes to mind.,36.037796020508,-78.985801696777,-1,
R_7WeSuDIX2x8HJHf,Default Response Set,Anonymous,,,96.232.234.42,0,2014-05-17 12:08:33,2014-05-17 12:13:31,1,control,food stamps,tax breaks,intelligent design,safe sex,6,6,3,1,2,4,5,1,1,1,1,,,,,4,3,3,4,3,4,16.503,26.725,28.415,6,1,,1,,,,1,5,2,4,4,4,36.38,48.003,49.377,6,1,,,1,,,3,4,4,4,2,4,28.184,39.145,40.776,6,1,,,,,1,2,4,3,4,3,5,32.453,41.003,42.302,6,1,,,,1,,4,3,3,2,3,4,17.866,28.142999999999997,29.265,6,1,3,2,,,3,,,7,2,7,1,2,6,3,3,3,5,2,30,,40.616592407227,-74.012397766113,-1,
R_b9F6NKfMjp2yIAt,Default Response Set,Anonymous,,,68.6.47.198,0,2014-05-17 11:48:06,2014-05-17 12:13:48,1,control,food stamps,safe sex,intelligent design,tax breaks,6,6,2,4,3,1,5,1,1,1,1,,,,,2,4,3,4,3,3,92.206,217.574,224.82,8,1,,1,,,,4,3,4,2,3,3,117.856,173.88700000000003,178.39,7,1,,,,1,,4,1,4,3,2,2,410.169,433.94700000000006,435.26,6,1,,,,,1,3,3,3,4,3,4,163.185,185.065,186.506,7,1,,,1,,,3,3,3,4,3,3,18.013,162.66500000000002,172.93,7,1,3,3,,,5,,,6,7,6,1,6,5,3,7,3,1,1,27,didnt know about all the methods of persuasion presented here. thanks,34.018402099609,-119.72520446777,-1,
R_80NUwFQHferoHFH,Default Response Set,Anonymous,,,67.79.170.12,0,2014-05-17 12:09:10,2014-05-17 12:14:09,1,food stamps,tax breaks,control,safe sex,intelligent design,6,6,4,1,2,3,5,1,1,1,,1,,,,4,1,4,2,2,1,7.957,13.788000000000002,14.963,6,1,,,1,,,4,3,4,2,2,3,12.069,30.631,31.297,8,1,1,,,,,2,4,2,4,4,5,25.293,35.705,36.33,6,1,,,,1,,4,1,4,1,1,1,22.281,31.038999999999998,32.121,6,1,,,,,1,5,1,4,3,2,1,39.592,46.59499999999999,48.123,7,1,2,1,,,1,,,7,1,7,7,3,4,4,7,1,1,1,23,None,27.770904541016,-82.679298400879,-1,
R_55qe177ZMVJDg45,Default Response Set,Anonymous,,,63.137.150.235,0,2014-05-17 12:00:02,2014-05-17 12:14:13,1,tax breaks,food stamps,control,intelligent design,safe sex,6,6,3,2,1,4,5,1,1,1,,,1,,,2,4,3,3,1,5,43.369,61.881,62.87,9,1,,1,,,,5,1,5,1,1,2,519.296,527.094,530.597,6,1,1,,,,,4,1,5,5,1,4,4.405,110.46,112.177,8,1,,,,,1,4,1,3,5,1,5,27.339,37.963,38.79,6,1,,,,1,,1,5,1,5,5,5,11.684,18.436,26.136,6,1,3,3,,,5,,,5,2,7,1,7,1,7,7,1,1,1,44,,38.649993896484,-90.533401489258,-1,
R_2nLKcpiacuaJTk9,Default Response Set,Anonymous,,,24.17.41.217,0,2014-05-17 12:08:28,2014-05-17 12:14:26,1,tax breaks,food stamps,intelligent design,control,safe sex,6,6,3,5,4,1,2,1,1,1,,,1,,,2,4,2,4,4,3,50,62.491,63.799,6,1,,1,,,,4,2,4,2,2,3,1.579,30.566999999999997,31.552,7,1,,,,,1,1,5,3,4,3,4,14.85,31.628,32.736,9,1,1,,,,,2,3,3,4,3,3,45.022,57.595,64.466,6,1,,,,1,,3,3,3,4,2,2,23.999,33.635999999999996,34.746,6,1,2,1,,,1,,,7,1,7,1,1,7,1,1,7,4,1,29,No,47.449905395508,-122.35859680176,-1,
R_bJz5LRz6U7PNdhr,Default Response Set,Anonymous,,,68.0.196.170,0,2014-05-17 12:10:00,2014-05-17 12:14:31,1,tax breaks,food stamps,control,safe sex,intelligent design,6,6,4,1,2,3,5,1,1,1,,,1,,,4,2,3,4,3,4,27.781,43.285999999999994,44.445,9,1,,1,,,,4,3,4,5,3,3,24.23,34.601,35.558,6,1,1,,,,,2,4,2,5,3,4,8.615,16.924,18.129,6,1,,,,1,,4,1,3,4,3,3,23.142,31.955000000000002,32.967,6,1,,,,,1,3,3,3,4,3,5,21.977,27.653000000000002,28.764,6,1,3,1,,,2,,,6,2,7,1,5,3,5,5,1,1,1,28,,41.775894165039,-72.521499633789,-1,
R_2rhKradFD76Qdg1,Default Response Set,Anonymous,,,184.35.90.41,0,2014-05-17 12:06:56,2014-05-17 12:14:42,1,safe sex,food stamps,intelligent design,tax breaks,control,6,6,3,5,1,2,4,1,1,1,,,,1,,2,3,3,4,2,3,33.991,45.833,46.842,6,1,,1,,,,5,1,5,1,1,1,27.877,38.97,40.073,7,1,,,,,1,3,2,4,3,1,2,50.621,64.187,65.068,6,1,,,1,,,4,1,5,2,1,1,40.995,54.111,54.914,7,1,1,,,,,4,1,4,2,1,1,26.208,34.413999999999994,35.495,6,1,1,6,,,5,,,4,4,3,6,5,5,3,4,2,4,2,61,,36.072601318359,-79.791999816895,-1,
R_5w0cYnlczwCxgR7,Default Response Set,Anonymous,,,206.255.38.13,0,2014-05-17 12:08:11,2014-05-17 12:14:46,1,control,food stamps,tax breaks,intelligent design,safe sex,6,6,2,4,3,1,5,1,1,1,1,,,,,3,4,3,4,4,5,25.757,36.256,37.041,6,1,,1,,,,4,2,4,4,2,4,21.22,29.209,29.992,6,1,,,1,,,4,2,3,4,3,4,46.54,55.711999999999996,57.177,6,1,,,,,1,4,2,4,4,2,4,47.076,105.83300000000001,106.796,9,1,,,,1,,3,2,4,4,3,4,21.062,30.385,31.341,6,1,1,4,,,4,,,7,2,6,6,7,2,2,7,2,2,2,55,"thanks, a bit confusing there lol",32.512893676758,-94.795402526855,-1,
R_5uaaH3aeCL6mKG1,Default Response Set,Anonymous,,,99.14.2.29,0,2014-05-17 12:08:59,2014-05-17 12:15:01,1,food stamps,control,intelligent design,tax breaks,safe sex,6,6,4,2,1,3,5,1,1,1,,1,,,,2,4,2,2,4,4,68.172,80.069,82.2,6,1,1,,,,,3,3,3,3,3,3,19.964,24.318,26.425,6,1,,,,,1,2,4,3,4,3,4,31.073,42.695,43.746,6,1,,,1,,,4,2,3,2,3,2,0.081,51.00900000000001,52.269,8,1,,,,1,,4,2,3,3,3,2,13.737,22.107999999999997,23.481,8,1,3,1,,,1,,,6,2,7,1,2,6,3,3,4,4,2,29,,41.947402954102,-87.70369720459,-1,
R_8C7Mf7wW0d0eyMt,Default Response Set,Anonymous,,,68.187.159.85,0,2014-05-17 12:05:48,2014-05-17 12:15:19,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,2,4,1,3,5,1,1,1,,1,,,,1,5,5,5,1,5,60.196,94.625,96.448,7,1,1,,,,,5,1,3,5,3,5,44.107,62.08499999999999,63.991,6,1,,,1,,,5,1,5,5,1,5,54.821,78.731,89.28,7,1,,,,1,,5,1,5,5,1,5,66.32,77.705,78.688,6,1,,,,,1,3,3,1,5,5,5,53.31,74.153,75.545,7,1,1,5,,,5,,,1,1,4,4,5,5,5,5,2,2,1,59,no,45.106002807617,-95.027801513672,-1,
R_e9cwoq73BUYczY1,Default Response Set,Anonymous,,,71.206.92.138,0,2014-05-17 12:16:10,2014-05-17 12:20:23,1,food stamps,control,safe sex,tax breaks,intelligent design,6,6,5,1,4,2,3,1,1,1,,1,,,,4,3,2,3,4,2,4.287,8.087,10.281,6,1,1,,,,,4,3,2,4,3,2,7.643,26.733,27.158,7,1,,,,1,,3,2,3,4,5,2,22.158,27.869000000000003,29.213,6,1,,,1,,,4,3,2,4,2,3,11.509,15.607000000000001,16.595,6,1,,,,,1,4,3,1,4,3,4,14.127,21.808999999999997,23.006,7,1,2,6,,,2,,,6,4,5,6,6,5,5,6,3,2,2,27,This was a good survey to do,26.615905761719,-80.056999206543,-1,
R_efgVDuplNHD0hh3,Default Response Set,Anonymous,,,24.96.69.122,0,2014-05-17 12:14:58,2014-05-17 12:20:52,1,control,food stamps,tax breaks,intelligent design,safe sex,6,6,3,5,2,1,4,1,1,1,1,,,,,3,4,3,3,2,3,22.093,32.254,32.686,10,1,,1,,,,4,1,4,2,2,3,16.21,42.98799999999999,43.842,20,1,,,1,,,1,2,2,1,5,2,10.192,61.29999999999999,62.361,30,1,,,,,1,3,2,2,2,3,3,14.26,53.352,54.888,19,1,,,,1,,4,2,4,3,2,2,5.2,43.099000000000004,44.208,21,1,2,2,,,4,,,7,1,6,4,3,3,2,3,2,3,1,18,"None, great study!",27.982894897461,-82.779502868652,-1,
R_begWVk9bFiady85,Default Response Set,Anonymous,,,162.230.188.242,0,2014-05-17 12:11:02,2014-05-17 12:22:12,1,intelligent design,control,food stamps,tax breaks,safe sex,6,6,2,4,3,5,1,1,1,1,,,,,1,5,1,5,1,1,1,60.857,67.64900000000001,69.143,6,1,1,,,,,5,1,5,1,1,1,53.181,59.285999999999994,61.168,6,1,,1,,,,5,1,5,1,1,1,35.267,43.38099999999999,46.432,6,1,,,1,,,5,1,5,1,1,1,120.427,126.302,127.66,6,1,,,,1,,5,1,5,1,1,5,107.255,147.909,148.989,6,1,2,1,,,1,,,6,1,7,7,1,2,6,1,6,4,2,50,"Thank you for your survey. / There's programs that government should allow to make, and their are others that government should not help out.",29.366104125977,-98.37670135498,-1,
R_bHGiaZO6NJmj8Ut,Default Response Set,Anonymous,,,71.95.2.91,0,2014-05-17 12:13:13,2014-05-17 12:22:48,1,tax breaks,food stamps,control,intelligent design,safe sex,6,6,2,5,1,4,3,1,1,1,,,1,,,5,1,5,1,1,3,133.989,151.18099999999998,153.079,10,1,,1,,,,5,1,2,1,1,3,57.363,71.89900000000002,72.645,8,1,1,,,,,5,1,3,2,2,3,53.471,69.743,70.544,7,1,,,,,1,2,4,3,3,2,1,63.943,73.478,74.856,6,1,,,,1,,4,2,3,2,1,1,78.491,89.59400000000001,89.972,9,1,3,4,,,4,,,7,7,7,4,7,1,7,7,1,1,1,25,,34.500793457031,-117.18589782715,-1,
R_5urFjfRBizXsWR7,Default Response Set,Anonymous,,,71.20.182.34,0,2014-05-17 12:20:40,2014-05-17 12:23:00,1,tax breaks,food stamps,intelligent design,safe sex,control,6,6,1,3,4,2,5,1,1,1,,,1,,,3,3,3,3,3,3,9.586,12.516,14.822,6,1,,1,,,,3,3,3,3,3,3,1.258,4.2620000000000005,8.32,6,1,,,,,1,3,3,3,3,3,3,1.57,4.6240000000000006,6.45,6,1,,,,1,,3,3,3,3,3,3,1.992,4.408,6.617,6,1,1,,,,,3,3,3,3,3,3,1.595,4.016,6.21,6,1,3,4,,,4,,,4,3,4,4,4,4,4,4,4,4,1,25,no,34.020004272461,-117.9495010376,-1,
R_9YwHGa6gf5hvsPP,Default Response Set,Anonymous,,,76.179.47.252,0,2014-05-17 12:17:49,2014-05-17 12:25:37,1,safe sex,food stamps,intelligent design,tax breaks,control,6,6,5,3,2,4,1,1,1,1,,,,1,,4,2,4,3,3,2,18.22,30.986999999999995,62.594,6,1,,1,,,,5,1,5,1,1,1,28.121,34.441,36.959,8,1,,,,,1,4,2,4,2,2,2,22.87,29.377000000000006,44.594,7,1,,,1,,,5,1,5,1,1,1,10.362,14.673,31.45,6,1,1,,,,,3,3,4,2,2,2,32.224,43.458999999999996,44.347,7,1,2,2,,,2,,,7,1,7,1,3,6,3,5,5,2,2,38,,44.027099609375,-70.117500305176,-1,
R_eVD0jwKPLsk4N6t,Default Response Set,Anonymous,,,50.172.95.3,0,2014-05-17 12:20:22,2014-05-17 12:26:16,1,control,food stamps,intelligent design,tax breaks,safe sex,6,6,4,2,5,3,1,1,1,1,1,,,,,3,3,4,4,2,3,17.865,27.743000000000002,28.649,7,1,,1,,,,1,4,2,2,3,4,1.007,36.946000000000005,46.295,7,1,,,,,1,2,4,2,4,4,4,1.144,18.509999999999998,19.391,7,1,,,1,,,2,4,2,4,2,3,26.09,55.548,58.132,8,1,,,,1,,4,2,4,3,2,2,1.137,101.22700000000002,102.796,13,1,1,3,,,5,,,5,5,7,2,2,2,5,5,3,2,1,34,,42.056900024414,-86.456298828125,-1,
R_bmty4ArYfD9weTX,Default Response Set,Anonymous,,,75.136.135.134,0,2014-05-17 12:23:06,2014-05-17 12:27:29,1,tax breaks,intelligent design,food stamps,control,safe sex,6,6,5,3,2,1,4,1,1,1,,,1,,,3,4,2,4,4,4,17.268,32.5,33.238,9,1,,,,,1,4,2,4,2,2,2,29.284,38.242999999999995,39.285,10,1,,1,,,,4,2,3,4,2,3,20.54,30.46,31.222,7,1,1,,,,,4,2,4,2,1,3,3.792,50.688,52.867,15,1,,,,1,,4,1,4,2,1,2,17.984,25.025000000000002,25.874,8,1,2,1,,,1,,,6,1,7,1,1,6,1,3,5,5,1,21,,34.491592407227,-82.615798950195,-1,
